id,company,avgStockPrice,date
0,3,1020.86,2022-07-07T14:43:03.500Z
1,27,1973.39,2022-07-07T14:43:03.500Z
2,24,800,2022-07-07T14:43:03.500Z
3,23,134.4,2022-07-07T14:43:03.500Z
4,28,2377.88,2022-07-07T14:43:03.500Z
5,10,1778.68,2022-07-07T14:43:03.500Z
6,4,1243.58,2022-07-07T14:43:03.500Z
7,33,1448.21,2022-07-07T14:43:03.500Z
8,13,2611.88,2022-07-07T14:43:03.500Z
9,34,2875.84,2022-07-07T14:43:03.500Z
10,11,276.03,2022-07-07T14:43:03.500Z
11,22,2250.89,2022-07-07T14:43:03.500Z
12,12,1045.47,2022-07-07T14:43:03.500Z
13,9,175.69,2022-07-07T14:43:03.500Z
14,26,559.13,2022-07-07T14:43:03.500Z
15,17,2633.04,2022-07-07T14:43:03.500Z
16,31,2828.66,2022-07-07T14:43:03.500Z
17,2,972.59,2022-07-07T14:43:03.500Z
18,25,2852.66,2022-07-07T14:43:03.500Z
19,29,2675.85,2022-07-07T14:43:03.500Z
20,14,2423.12,2022-07-07T14:43:03.500Z
21,5,936.91,2022-07-07T14:43:03.500Z
22,6,2730.74,2022-07-07T14:43:03.500Z
23,32,2902.53,2022-07-07T14:43:03.500Z
24,30,1455.54,2022-07-07T14:43:03.500Z
25,20,2673.93,2022-07-07T14:43:03.500Z
26,19,2080.86,2022-07-07T14:43:03.500Z
27,18,2771.75,2022-07-07T14:43:03.500Z
28,1,2240.06,2022-07-07T14:43:03.500Z
29,21,626.84,2022-07-07T14:43:03.500Z
30,16,1323.88,2022-07-07T14:43:03.500Z
31,7,661.96,2022-07-07T14:43:03.500Z
32,8,1382.66,2022-07-07T14:43:03.500Z
33,15,1431.21,2022-07-07T14:43:03.500Z
34,0,1153.18,2022-07-07T14:43:03.500Z
35,14,2241.21,2022-07-08T14:43:03.500Z
36,18,2541.1,2022-07-08T14:43:03.500Z
37,27,2180.49,2022-07-08T14:43:03.500Z
38,15,1395.79,2022-07-08T14:43:03.500Z
39,28,2297.5,2022-07-08T14:43:03.500Z
40,16,1341.1,2022-07-08T14:43:03.500Z
41,30,1603.45,2022-07-08T14:43:03.500Z
42,19,1951,2022-07-08T14:43:03.500Z
43,25,3009.53,2022-07-08T14:43:03.500Z
44,26,541.02,2022-07-08T14:43:03.500Z
45,1,2089.59,2022-07-08T14:43:03.500Z
46,21,613.45,2022-07-08T14:43:03.500Z
47,10,1952.73,2022-07-08T14:43:03.500Z
48,5,940.99,2022-07-08T14:43:03.500Z
49,24,880,2022-07-08T14:43:03.500Z
50,23,132.48,2022-07-08T14:43:03.500Z
51,20,2630.2,2022-07-08T14:43:03.500Z
52,13,2568.4,2022-07-08T14:43:03.500Z
53,29,2790.67,2022-07-08T14:43:03.500Z
54,12,1028,2022-07-08T14:43:03.500Z
55,22,2091.13,2022-07-08T14:43:03.500Z
56,33,1344.77,2022-07-08T14:43:03.500Z
57,17,2665.47,2022-07-08T14:43:03.500Z
58,31,2632.48,2022-07-08T14:43:03.500Z
59,7,665.57,2022-07-08T14:43:03.500Z
60,34,2752.36,2022-07-08T14:43:03.500Z
61,3,1048.48,2022-07-08T14:43:03.500Z
62,32,2922.27,2022-07-08T14:43:03.500Z
63,8,1526.24,2022-07-08T14:43:03.500Z
64,6,2545.18,2022-07-08T14:43:03.500Z
65,4,1188.77,2022-07-08T14:43:03.500Z
66,11,269.66,2022-07-08T14:43:03.500Z
67,2,1037.16,2022-07-08T14:43:03.500Z
68,0,1133.64,2022-07-08T14:43:03.500Z
69,9,176.41,2022-07-08T14:43:03.500Z
70,8,1476.29,2022-07-09T14:43:03.500Z
71,29,2880.24,2022-07-09T14:43:03.500Z
72,32,2792.59,2022-07-09T14:43:03.500Z
73,25,3223.75,2022-07-09T14:43:03.500Z
74,33,1359.27,2022-07-09T14:43:03.500Z
75,28,2513.33,2022-07-09T14:43:03.500Z
76,22,1996.1,2022-07-09T14:43:03.500Z
77,6,2734.2,2022-07-09T14:43:03.500Z
78,12,962.25,2022-07-09T14:43:03.500Z
79,31,2754.71,2022-07-09T14:43:03.500Z
80,2,945.77,2022-07-09T14:43:03.500Z
81,14,2262.49,2022-07-09T14:43:03.500Z
82,5,1037.32,2022-07-09T14:43:03.500Z
83,13,2723.59,2022-07-09T14:43:03.500Z
84,27,2315.86,2022-07-09T14:43:03.500Z
85,7,722.92,2022-07-09T14:43:03.500Z
86,1,2299.47,2022-07-09T14:43:03.500Z
