id,amount,created_at,transaction_data
0,40.2,2022-08-03T15:55:54.792Z,SPECTRUM
1,45.21,2022-08-03T09:04:27.279Z,DD DOORDASH BLUEGOOSE
2,16.18,2022-08-03T09:04:27.279Z,Audible
3,62.6,2022-08-03T02:22:36.514Z,Tom Thumb
4,6.9,2022-08-03T02:22:36.514Z,Auntie Anne's
5,47.26,2022-08-03T02:22:36.514Z,Shell
6,26.04,2022-08-03T02:22:36.514Z,Lowe's Home Improvement
7,6.92,2022-08-03T02:22:36.514Z,Marble Slab Creamery
8,29.22,2022-08-03T02:22:36.514Z,Disney Store
9,26.08,2022-08-03T02:22:36.514Z,Chuck E. Cheese's
10,17.99,2022-08-03T02:22:36.514Z,YouTubePremium
11,42.37,2022-08-03T02:22:36.514Z,Target
12,34.86,2022-08-03T02:22:36.514Z,Chick-fil-A
13,26.4,2022-08-01T16:23:13.624Z,DD DOORDASH PAPAJOHNS
14,100.46,2022-07-30T18:07:24.452Z,Trader Joe's
15,172.05,2022-07-30T18:07:24.451Z,Target
16,41.85,2022-07-30T18:07:24.451Z,Amazon.com*1H1SK4P62
17,34.39,2022-07-30T18:07:24.451Z,Chipotle Mexican Grill
18,91.79,2022-07-30T18:07:24.451Z,Trader Joe's
19,37.83,2022-07-30T18:07:24.451Z,DD DOORDASH PANERABRE
20,68.32,2022-07-30T18:07:24.451Z,Olive Garden
21,13.99,2022-07-30T18:07:24.451Z,CVS
22,43.08,2022-07-30T18:07:24.451Z,DD DOORDASH PANERABRE
23,47.23,2022-07-30T18:07:24.451Z,Chipotle Mexican Grill
24,40.6,2022-07-30T18:07:24.451Z,ROCHE BROTHERS 122
25,37.88,2022-07-30T18:07:24.451Z,DD DOORDASH THECHEESE
26,11.97,2022-07-30T18:07:24.451Z,Burger King
27,42.01,2022-07-30T18:07:24.451Z,Chipotle Mexican Grill
28,37.98,2022-07-30T18:07:24.451Z,DD DOORDASH GREENHOUS
29,4.5,2022-07-30T18:07:24.451Z,ETSY.COM - MYORGANIZED
30,16.18,2022-07-30T18:07:24.451Z,Audible
31,11.38,2022-07-30T18:07:24.451Z,Staples
32,68.53,2022-07-30T18:07:24.451Z,POTTERYBARNKIDS.COM
33,72.14,2022-07-30T18:07:24.450Z,Amazon.com*1L2YD0MW1
34,79.38,2022-07-30T18:07:24.450Z,Target
35,24.58,2022-07-30T18:07:24.450Z,Jimmy Johns
36,66.28,2022-07-30T18:07:24.450Z,DD DOORDASH THECHEESE
37,19.95,2022-07-30T18:07:24.450Z,URBANSITTER INC.
38,39.4,2022-07-30T18:07:24.450Z,DD DOORDASH PANERABRE
39,38.97,2022-07-30T18:07:24.450Z,DOORDASH*CHIPOTLE
40,16.18,2022-07-30T18:07:24.450Z,Audible
41,38.97,2022-07-30T18:07:24.450Z,DOORDASH*CHIPOTLE
42,16.18,2022-07-30T18:07:24.450Z,Audible
43,50.91,2022-07-30T04:49:23.529Z,DD DOORDASH PANERABRE
44,45.49,2022-07-28T07:49:43.171Z,MOVIETAVERN CENTRLPRK
45,25.98,2022-07-27T12:05:10.031Z,Six Flags
46,5.4,2022-07-27T12:05:10.031Z,Six Flags
47,55.97,2022-07-27T12:05:10.031Z,DD DOORDASH CORNERBAK
48,10.03,2022-07-27T12:05:10.031Z,QuikTrip
49,6.24,2022-07-27T12:05:10.031Z,QuikTrip
50,9.75,2022-07-27T12:05:10.031Z,MOVIETAVERN BEDFORD EC
51,32.54,2022-07-27T12:05:10.031Z,DD DOORDASH FUZZYSTAC
52,86.64,2022-07-25T12:59:52.302Z,Target
53,2.8,2022-07-25T12:59:52.302Z,Target
54,211.07,2022-07-25T12:59:52.302Z,Six Flags
55,98.99,2022-07-25T12:59:52.301Z,Lowe's Home Improvement
56,64.36,2022-07-25T12:59:52.301Z,DD DOORDASH ABUELOSME
57,7.48,2022-07-25T12:59:52.301Z,Auntie Anne's
58,14.14,2022-07-23T07:41:27.867Z,Starbucks
59,16.23,2022-07-23T07:41:27.867Z,Roku for WarnerMedia G
60,10.11,2022-07-22T05:05:29.802Z,Starbucks
61,21.72,2022-07-21T02:47:27.572Z,Uber
62,8.49,2022-07-21T02:47:27.572Z,Albertsons
63,4.07,2022-07-20T06:33:57.787Z,Target
64,135.33,2022-07-20T06:33:57.787Z,GEICO
65,19.95,2022-07-19T09:34:19.711Z,URBANSITTER INC.
66,47.44,2022-07-19T09:34:19.710Z,DOORDASH*CHIPOTLE
67,140.38,2022-07-18T06:39:57.161Z,TASKER ON TASKRABBIT
68,6.51,2022-07-18T06:39:57.161Z,Sonic
69,12.67,2022-07-18T06:39:57.161Z,LEMONADE I* LEMONADE I
70,18.22,2022-07-18T06:39:57.161Z,Jimmy Johns
71,9.99,2022-07-18T06:39:57.161Z,IC* INSTACART*SUBSCRIP
72,31.4,2022-07-18T06:39:57.161Z,DD DOORDASH MAMASPIZZ
73,99.78,2022-07-16T01:28:03.685Z,MYENERGYINVOICE.COM
74,11.2,2022-07-16T01:28:03.684Z,Chick-fil-A
75,26.95,2022-07-15T05:03:08.489Z,USPS PO 4829500039
76,52.46,2022-07-14T09:23:23.448Z,DD DOORDASH SKILLMANW
77,24.2,2022-07-12T09:18:23.290Z,DD DOORDASH SMOOTHIEK
78,27.1,2022-07-12T02:23:17.931Z,Trader Joe's
79,1.08,2022-07-12T02:23:17.931Z,Target
80,2.63,2022-07-12T02:23:17.931Z,Sonic
81,29.1,2022-07-12T02:23:17.931Z,MOVIETAVERN CENTRLPRK
82,6.98,2022-07-12T02:23:17.931Z,MOVIETAVERN CENTRLPRK
83,29.99,2022-07-12T02:23:17.931Z,Google Cloud Storage
84,5.4,2022-07-12T02:23:17.931Z,APPLE.COM/BILL
85,92.67,2022-07-11T06:16:59.164Z,Target
86,31.4,2022-07-11T06:16:59.164Z,DD DOORDASH MAMASPIZZ
87,31.07,2022-07-09T07:11:46.449Z,Starbucks
88,13.13,2022-07-09T07:11:46.449Z,Fandango
89,37.37,2022-07-09T07:11:46.449Z,Chipotle Mexican Grill
90,24.25,2022-07-07T14:43:03.516Z,Jimmy Johns
91,9.99,2022-07-07T14:43:03.514Z,INSTACART*SUBSCRIPTION
92,203.54,2022-07-07T14:43:03.514Z,Best Buy
93,35.07,2022-07-07T14:43:03.511Z,Uber
94,22.26,2022-07-07T14:43:03.510Z,TGI FRIDAYS #0851
95,150.41,2022-07-07T14:43:03.510Z,Hilton
96,206.6,2022-07-07T14:43:03.509Z,AMERICAN 0012436345265
97,37.25,2022-07-07T14:43:03.509Z,Uber
98,25.07,2022-07-07T14:43:03.508Z,Uber
99,1.17,2022-07-07T14:43:03.508Z,Lowe's Home Improvement
100,21.21,2022-07-07T14:43:03.508Z,Home Depot
101,187.44,2022-07-07T14:43:03.507Z,Best Buy
102,37.87,2022-07-07T14:43:03.507Z,Best Buy
103,61.95,2022-07-07T14:43:03.507Z,SPECTRUM
104,16.23,2022-07-07T14:43:03.507Z,Roku for WarnerMedia G
105,73.44,2022-07-07T14:43:03.506Z,Olive Garden
106,184.03,2022-07-07T14:43:03.506Z,FITNESS NATION
107,177.5,2022-07-07T14:43:03.505Z,Home Depot
108,91.98,2022-07-07T14:43:03.505Z,Home Depot
109,506.34,2022-07-07T14:43:03.503Z,Dallas Utilities
110,17.99,2022-07-07T14:43:03.502Z,YouTubePremium
111,365.05,2022-07-07T14:43:03.502Z,TASKER ON TASKRABBIT
